Loading CUDA module...
Loading Conda...
Environment 'MBML' activated.
Starting Python script...
Using device: cuda
Using device: cuda
/zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/Task03_Liver_rs
/zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/Task03_Liver_rs
Found 28 image/label pairs.
--- success ---
Found 119 unlabeled images.
--- success ---
--- Training the VAE on Liver Data ---
Epoch 1/200 | Avg Train Loss: 1.4119 | KLD Beta: 0.0000
Epoch 2/200 | Avg Train Loss: 8994.0897 | KLD Beta: 0.0500
Epoch 3/200 | Avg Train Loss: 12618.1445 | KLD Beta: 0.1000
Epoch 4/200 | Avg Train Loss: 10646.8594 | KLD Beta: 0.1500
Epoch 5/200 | Avg Train Loss: 9085.2474 | KLD Beta: 0.2000
Epoch 6/200 | Avg Train Loss: 9058.7797 | KLD Beta: 0.2500
Epoch 7/200 | Avg Train Loss: 9395.3715 | KLD Beta: 0.3000
Epoch 8/200 | Avg Train Loss: 9200.8797 | KLD Beta: 0.3500
Epoch 9/200 | Avg Train Loss: 10395.8638 | KLD Beta: 0.4000
Epoch 10/200 | Avg Train Loss: 11212.1312 | KLD Beta: 0.4500
Epoch 11/200 | Avg Train Loss: 11225.3933 | KLD Beta: 0.5000
Epoch 12/200 | Avg Train Loss: 12530.2014 | KLD Beta: 0.5500
Epoch 13/200 | Avg Train Loss: 12688.9747 | KLD Beta: 0.6000
Epoch 14/200 | Avg Train Loss: 12818.4097 | KLD Beta: 0.6500
Epoch 15/200 | Avg Train Loss: 13110.2256 | KLD Beta: 0.7000
Epoch 16/200 | Avg Train Loss: 13856.8552 | KLD Beta: 0.7500
Epoch 17/200 | Avg Train Loss: 13601.2949 | KLD Beta: 0.8000
Epoch 18/200 | Avg Train Loss: 13971.4037 | KLD Beta: 0.8500
Epoch 19/200 | Avg Train Loss: 13976.5864 | KLD Beta: 0.9000
Epoch 20/200 | Avg Train Loss: 13531.3852 | KLD Beta: 0.9500
Epoch 21/200 | Avg Train Loss: 12150.7296 | KLD Beta: 1.0000
Epoch 22/200 | Avg Train Loss: 11724.6077 | KLD Beta: 1.0000
Epoch 23/200 | Avg Train Loss: 11990.8700 | KLD Beta: 1.0000
Epoch 24/200 | Avg Train Loss: 10460.2165 | KLD Beta: 1.0000
Epoch 25/200 | Avg Train Loss: 9787.9132 | KLD Beta: 1.0000
Epoch 26/200 | Avg Train Loss: 9660.9040 | KLD Beta: 1.0000
Epoch 27/200 | Avg Train Loss: 9087.3752 | KLD Beta: 1.0000
Epoch 28/200 | Avg Train Loss: 8719.0245 | KLD Beta: 1.0000
Epoch 29/200 | Avg Train Loss: 8709.0929 | KLD Beta: 1.0000
Epoch 30/200 | Avg Train Loss: 9182.4894 | KLD Beta: 1.0000
Epoch 31/200 | Avg Train Loss: 7557.7830 | KLD Beta: 1.0000
Epoch 32/200 | Avg Train Loss: 7793.8189 | KLD Beta: 1.0000
Epoch 33/200 | Avg Train Loss: 7568.9866 | KLD Beta: 1.0000
Epoch 34/200 | Avg Train Loss: 6798.1483 | KLD Beta: 1.0000
Epoch 35/200 | Avg Train Loss: 7042.7628 | KLD Beta: 1.0000
Epoch 36/200 | Avg Train Loss: 6270.1809 | KLD Beta: 1.0000
Epoch 37/200 | Avg Train Loss: 6215.8528 | KLD Beta: 1.0000
Epoch 38/200 | Avg Train Loss: 6103.5212 | KLD Beta: 1.0000
Epoch 39/200 | Avg Train Loss: 5660.1646 | KLD Beta: 1.0000
Epoch 40/200 | Avg Train Loss: 6008.7523 | KLD Beta: 1.0000
Epoch 41/200 | Avg Train Loss: 5643.2505 | KLD Beta: 1.0000
Epoch 42/200 | Avg Train Loss: 5149.4230 | KLD Beta: 1.0000
Epoch 43/200 | Avg Train Loss: 5095.3757 | KLD Beta: 1.0000
Epoch 44/200 | Avg Train Loss: 4987.7834 | KLD Beta: 1.0000
Epoch 45/200 | Avg Train Loss: 5026.6214 | KLD Beta: 1.0000
Epoch 46/200 | Avg Train Loss: 4637.2335 | KLD Beta: 1.0000
Epoch 47/200 | Avg Train Loss: 4745.0090 | KLD Beta: 1.0000
Epoch 48/200 | Avg Train Loss: 4681.8940 | KLD Beta: 1.0000
Epoch 49/200 | Avg Train Loss: 4398.5589 | KLD Beta: 1.0000
Epoch 50/200 | Avg Train Loss: 4415.7749 | KLD Beta: 1.0000
Epoch 51/200 | Avg Train Loss: 4173.6357 | KLD Beta: 1.0000
Epoch 52/200 | Avg Train Loss: 4421.5411 | KLD Beta: 1.0000
Epoch 53/200 | Avg Train Loss: 4062.6999 | KLD Beta: 1.0000
Epoch 54/200 | Avg Train Loss: 3776.0075 | KLD Beta: 1.0000
Epoch 55/200 | Avg Train Loss: 3886.3716 | KLD Beta: 1.0000
Epoch 56/200 | Avg Train Loss: 3699.7975 | KLD Beta: 1.0000
Epoch 57/200 | Avg Train Loss: 3707.0473 | KLD Beta: 1.0000
Epoch 58/200 | Avg Train Loss: 3638.1137 | KLD Beta: 1.0000
Epoch 59/200 | Avg Train Loss: 3503.3081 | KLD Beta: 1.0000
Epoch 60/200 | Avg Train Loss: 3189.1107 | KLD Beta: 1.0000
Epoch 61/200 | Avg Train Loss: 3230.0533 | KLD Beta: 1.0000
Epoch 62/200 | Avg Train Loss: 3419.4732 | KLD Beta: 1.0000
Epoch 63/200 | Avg Train Loss: 3121.6854 | KLD Beta: 1.0000
Epoch 64/200 | Avg Train Loss: 3403.5985 | KLD Beta: 1.0000
Epoch 65/200 | Avg Train Loss: 3280.2272 | KLD Beta: 1.0000
Epoch 66/200 | Avg Train Loss: 2932.5549 | KLD Beta: 1.0000
Epoch 67/200 | Avg Train Loss: 3008.4910 | KLD Beta: 1.0000
Epoch 68/200 | Avg Train Loss: 2800.8001 | KLD Beta: 1.0000
Epoch 69/200 | Avg Train Loss: 2767.7453 | KLD Beta: 1.0000
Epoch 70/200 | Avg Train Loss: 2795.6343 | KLD Beta: 1.0000
Epoch 71/200 | Avg Train Loss: 2506.7024 | KLD Beta: 1.0000
Epoch 72/200 | Avg Train Loss: 2806.0251 | KLD Beta: 1.0000
Epoch 73/200 | Avg Train Loss: 2761.8120 | KLD Beta: 1.0000
