Loading CUDA module...
Loading Conda...
Environment 'MBML' activated.
Starting Python script...
Using device: cuda
Using device: cuda
/zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/Task03_Liver_rs
/zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/Task03_Liver_rs
Found 28 image/label pairs.
--- success ---
Found 119 unlabeled images.
--- success ---
--- Training the VAE on Liver Data ---
Epoch 1/300 | Avg Train Loss: 1.1975 | KLD Beta: 0.0000
Epoch 2/300 | Avg Train Loss: 3000.2084 | KLD Beta: 0.0167
Epoch 3/300 | Avg Train Loss: 4509.3963 | KLD Beta: 0.0333
Epoch 4/300 | Avg Train Loss: 4544.2451 | KLD Beta: 0.0500
Epoch 5/300 | Avg Train Loss: 3980.1332 | KLD Beta: 0.0667
Epoch 6/300 | Avg Train Loss: 3716.3921 | KLD Beta: 0.0833
Epoch 7/300 | Avg Train Loss: 3510.5019 | KLD Beta: 0.1000
Epoch 8/300 | Avg Train Loss: 3722.5459 | KLD Beta: 0.1167
Epoch 9/300 | Avg Train Loss: 3813.5848 | KLD Beta: 0.1333
Epoch 10/300 | Avg Train Loss: 3748.1450 | KLD Beta: 0.1500
Epoch 11/300 | Avg Train Loss: 3835.3399 | KLD Beta: 0.1667
Epoch 12/300 | Avg Train Loss: 3978.6971 | KLD Beta: 0.1833
Epoch 13/300 | Avg Train Loss: 4046.9614 | KLD Beta: 0.2000
Epoch 14/300 | Avg Train Loss: 4219.9540 | KLD Beta: 0.2167
Epoch 15/300 | Avg Train Loss: 4145.8006 | KLD Beta: 0.2333
Epoch 16/300 | Avg Train Loss: 4383.2131 | KLD Beta: 0.2500
Epoch 17/300 | Avg Train Loss: 4477.5930 | KLD Beta: 0.2667
Epoch 18/300 | Avg Train Loss: 4613.3104 | KLD Beta: 0.2833
Epoch 19/300 | Avg Train Loss: 4730.8306 | KLD Beta: 0.3000
Epoch 20/300 | Avg Train Loss: 4466.1974 | KLD Beta: 0.3167
Epoch 21/300 | Avg Train Loss: 5182.1584 | KLD Beta: 0.3333
Epoch 22/300 | Avg Train Loss: 4469.1937 | KLD Beta: 0.3500
Epoch 23/300 | Avg Train Loss: 4959.9195 | KLD Beta: 0.3667
Epoch 24/300 | Avg Train Loss: 4780.8059 | KLD Beta: 0.3833
Epoch 25/300 | Avg Train Loss: 5276.1179 | KLD Beta: 0.4000
Epoch 26/300 | Avg Train Loss: 4904.2926 | KLD Beta: 0.4167
Epoch 27/300 | Avg Train Loss: 5086.9990 | KLD Beta: 0.4333
Epoch 28/300 | Avg Train Loss: 5104.7747 | KLD Beta: 0.4500
Epoch 29/300 | Avg Train Loss: 5171.9603 | KLD Beta: 0.4667
Epoch 30/300 | Avg Train Loss: 5177.9356 | KLD Beta: 0.4833
Epoch 31/300 | Avg Train Loss: 5258.2754 | KLD Beta: 0.5000
Epoch 32/300 | Avg Train Loss: 5917.7726 | KLD Beta: 0.5167
Epoch 33/300 | Avg Train Loss: 5235.9488 | KLD Beta: 0.5333
Epoch 34/300 | Avg Train Loss: 5416.9724 | KLD Beta: 0.5500
