Loading CUDA module...
Loading Conda...
Environment 'MBML' activated.
Starting Python script...
Using device: cuda
Using device: cuda
Saving visualizations to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE
Dataset initialized with 512 total patches.
--- Labeled DataLoader success (using patched data) ---
Dataset initialized with 512 total patches.
--- Unlabeled DataLoader success (using patched data) ---
--- Training the VAE on Patched Volumetric Data ---
Epoch 1/400 | Avg Train Loss: 2.1270 | KLD Beta: 0.0000
  Seg Loss: 0.4233 | Recon Loss: 0.0104 | KLD Loss: 49541.8973
Epoch 2/400 | Avg Train Loss: 2.1831 | KLD Beta: 0.0025
  Seg Loss: 0.3723 | Recon Loss: 0.0072 | KLD Loss: 125.8444
Epoch 3/400 | Avg Train Loss: 1.8149 | KLD Beta: 0.0050
  Seg Loss: 0.3560 | Recon Loss: 0.0065 | KLD Loss: 5.7164
Epoch 4/400 | Avg Train Loss: 1.8536 | KLD Beta: 0.0075
  Seg Loss: 0.3570 | Recon Loss: 0.0064 | KLD Loss: 8.3127
Epoch 5/400 | Avg Train Loss: 1.8041 | KLD Beta: 0.0100
  Seg Loss: 0.3560 | Recon Loss: 0.0066 | KLD Loss: 1.7233
Epoch 6/400 | Avg Train Loss: 1.7857 | KLD Beta: 0.0125
  Seg Loss: 0.3532 | Recon Loss: 0.0066 | KLD Loss: 1.0562
Epoch 7/400 | Avg Train Loss: 1.7820 | KLD Beta: 0.0150
  Seg Loss: 0.3538 | Recon Loss: 0.0065 | KLD Loss: 0.4271
Epoch 8/400 | Avg Train Loss: 1.7832 | KLD Beta: 0.0175
  Seg Loss: 0.3515 | Recon Loss: 0.0067 | KLD Loss: 1.0704
Epoch 9/400 | Avg Train Loss: 1.7852 | KLD Beta: 0.0200
  Seg Loss: 0.3545 | Recon Loss: 0.0067 | KLD Loss: 0.3059
Epoch 10/400 | Avg Train Loss: 1.7597 | KLD Beta: 0.0225
  Seg Loss: 0.3505 | Recon Loss: 0.0068 | KLD Loss: 0.0188
Epoch 11/400 | Avg Train Loss: 1.7579 | KLD Beta: 0.0250
  Seg Loss: 0.3502 | Recon Loss: 0.0069 | KLD Loss: 0.0092
Epoch 12/400 | Avg Train Loss: 1.7619 | KLD Beta: 0.0275
  Seg Loss: 0.3510 | Recon Loss: 0.0069 | KLD Loss: 0.0068
Epoch 13/400 | Avg Train Loss: 1.7252 | KLD Beta: 0.0300
  Seg Loss: 0.3435 | Recon Loss: 0.0069 | KLD Loss: 0.0241
Epoch 14/400 | Avg Train Loss: 1.7497 | KLD Beta: 0.0325
  Seg Loss: 0.3480 | Recon Loss: 0.0070 | KLD Loss: 0.0795
Epoch 15/400 | Avg Train Loss: 1.7300 | KLD Beta: 0.0350
  Seg Loss: 0.3445 | Recon Loss: 0.0071 | KLD Loss: 0.0064
Epoch 16/400 | Avg Train Loss: 1.7177 | KLD Beta: 0.0375
  Seg Loss: 0.3421 | Recon Loss: 0.0070 | KLD Loss: 0.0066
Epoch 17/400 | Avg Train Loss: 1.7286 | KLD Beta: 0.0400
  Seg Loss: 0.3442 | Recon Loss: 0.0072 | KLD Loss: 0.0063
Epoch 18/400 | Avg Train Loss: 1.7350 | KLD Beta: 0.0425
  Seg Loss: 0.3455 | Recon Loss: 0.0072 | KLD Loss: 0.0027
Epoch 19/400 | Avg Train Loss: 1.7073 | KLD Beta: 0.0450
  Seg Loss: 0.3400 | Recon Loss: 0.0072 | KLD Loss: 0.0022
  Visuals saved to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE/AG_epoch_0020_predictions.png
Epoch 20/400 | Avg Train Loss: 1.7056 | KLD Beta: 0.0475
  Seg Loss: 0.3397 | Recon Loss: 0.0073 | KLD Loss: 0.0020
Epoch 21/400 | Avg Train Loss: 1.6893 | KLD Beta: 0.0500
  Seg Loss: 0.3364 | Recon Loss: 0.0072 | KLD Loss: 0.0020
Epoch 22/400 | Avg Train Loss: 1.7049 | KLD Beta: 0.0500
  Seg Loss: 0.3395 | Recon Loss: 0.0073 | KLD Loss: 0.0021
Epoch 23/400 | Avg Train Loss: 1.7016 | KLD Beta: 0.0500
  Seg Loss: 0.3388 | Recon Loss: 0.0072 | KLD Loss: 0.0023
Epoch 24/400 | Avg Train Loss: 1.7070 | KLD Beta: 0.0500
  Seg Loss: 0.3399 | Recon Loss: 0.0074 | KLD Loss: 0.0023
Epoch 25/400 | Avg Train Loss: 1.6939 | KLD Beta: 0.0500
  Seg Loss: 0.3373 | Recon Loss: 0.0073 | KLD Loss: 0.0026
Epoch 26/400 | Avg Train Loss: 1.7111 | KLD Beta: 0.0500
  Seg Loss: 0.3407 | Recon Loss: 0.0074 | KLD Loss: 0.0031
